Unnamed: 0,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
7355,unicode-emoji,src-openeuler/unicode-emoji,,1,0,132,1
318,c-blosc,src-openeuler/c-blosc,High performance compressor optimized for binary data.,2,0,132,1
6137,python-redis,src-openeuler/python-redis,,4,0,132,0
7400,vboot-utils,src-openeuler/vboot-utils,,4,0,132,0
428,containernetworking-plugins,src-openeuler/containernetworking-plugins,,6,0,132,1
7183,tcllib,src-openeuler/tcllib,,4,0,132,1
6143,python-repoze-lru,src-openeuler/python-repoze-lru,,3,0,132,0
823,frei0r-plugins,src-openeuler/frei0r-plugins,,7,0,132,0
1014,go-compilers,src-openeuler/go-compilers,,4,0,132,1
7391,uthash,src-openeuler/uthash,,2,0,132,0
6951,rust-packaging,src-openeuler/rust-packaging,RPM macros for building Rust packages on various architectures,5,0,132,0
7060,sombok,src-openeuler/sombok,,2,0,132,0
609,dpkg,src-openeuler/dpkg,,3,0,132,0
1378,icoutils,src-openeuler/icoutils,,1,0,132,0
284,boom-boot,src-openeuler/boom-boot,,6,0,132,1
1417,iowatcher,src-openeuler/iowatcher,,2,0,131,1
3113,orca,src-openeuler/orca,,5,0,131,0
2550,navilu-fonts,src-openeuler/navilu-fonts,,2,0,131,0
291,bpg-fonts,src-openeuler/bpg-fonts,,1,0,131,0
5006,python-WSGIProxy2,src-openeuler/python-WSGIProxy2,WSGI Proxy that supports several HTTP backends,5,0,131,0
989,gnome-shell,src-openeuler/gnome-shell,,5,1,131,2
3188,paktype-naqsh-fonts,src-openeuler/paktype-naqsh-fonts,,3,0,131,0
6308,python-suds2,src-openeuler/python-suds2,A python SOAP client,6,0,131,0
859,gdm,src-openeuler/gdm,,9,0,131,0
3200,paratype-pt-sans-fonts,src-openeuler/paratype-pt-sans-fonts,,1,0,131,1
6418,python-waitress,src-openeuler/python-waitress,Waitress WSGI server,4,0,131,1
846,gcab,src-openeuler/gcab,,4,0,131,0
6428,python-webob,src-openeuler/python-webob,WSGI request and response object,4,0,131,1
6429,python-websocket-client,src-openeuler/python-websocket-client,WebSocket client for python,6,2,131,0
3192,pam_krb5,src-openeuler/pam_krb5,,3,0,131,0
1367,ibus-libzhuyin,src-openeuler/ibus-libzhuyin,,2,0,131,0
3190,paktype-tehreer-fonts,src-openeuler/paktype-tehreer-fonts,,3,0,131,0
6432,python-webtest,src-openeuler/python-webtest,Helper to test WSGI applications,6,0,131,0
2106,librelp,src-openeuler/librelp,,3,0,131,1
